disruption_id,route_id,disaster_event_id,disruption_type,start_date,duration_hours,severity,detour_available,detour_extra_km,detour_extra_hrs,affected_supplier_count,estimated_supply_delay_days
e9a2a84f-764f-488f-8c40-f663236479ab,5c81f013-e947-4607-9edb-694dc41604e2,093e87eb-6896-4294-ab19-7bcbeed77233,bridge_damage,2019-04-01,120.2,4,True,50.3,1.7,2,6.2
e5297cf5-ddc0-4f4a-a7cd-72efc9fd8a56,cec0ea05-5cf9-4954-a18b-8933bd9f2d99,093e87eb-6896-4294-ab19-7bcbeed77233,traffic_jam,2019-04-01,65.4,4,False,,2.1,6,4.0
c50c7580-6e33-4a91-bf08-4d3456716109,216a28ef-0557-4f2d-9346-8b8bc0b9e835,093e87eb-6896-4294-ab19-7bcbeed77233,road_blocked,2019-04-01,143.1,4,False,29.9,3.3,7,6.9
b712aa9f-b89d-4adc-be87-f553208eb40d,a25efa0f-be16-4c41-94af-e3b684894832,093e87eb-6896-4294-ab19-7bcbeed77233,traffic_jam,2019-04-01,102.5,4,True,,,2,5.3
037c79d3-193f-4f9f-894e-7fca60ccd5fc,7a326edb-6812-43ef-8a24-19d2bc264bdc,093e87eb-6896-4294-ab19-7bcbeed77233,traffic_jam,2019-04-01,82.6,4,False,,3.3,1,4.6
51113a65-4b2b-4e9d-aa43-db353715402f,3c996f90-1fb7-499b-bf0a-a401b1aec418,59b8c836-2549-40ba-9c5d-8dd47dbcefe8,vehicle_breakdown,2020-05-16,62.6,3,False,53.3,1.9,1,3.3
236150d1-d335-4d53-8502-8976616061f5,4d03d64c-0c12-4883-9552-1aa8abee77bf,59b8c836-2549-40ba-9c5d-8dd47dbcefe8,vehicle_breakdown,2020-05-16,83.2,3,True,38.0,2.5,5,5.0
31ce7577-3a91-485e-8fde-9767776579f9,2d5935d2-f4c6-404d-814d-96b771b6d9a6,59b8c836-2549-40ba-9c5d-8dd47dbcefe8,road_blocked,2020-05-16,52.7,3,True,48.9,,5,3.4
f3465051-fd09-45a8-a5e2-9c3d9b3ffadb,0ac41f1e-83c3-47e7-a95b-c8e0b0647d58,59b8c836-2549-40ba-9c5d-8dd47dbcefe8,vehicle_breakdown,2020-05-16,102.0,3,True,,,7,5.7
bcb2c3ff-2467-4f5a-a649-0d9abadf8e9b,55a1857f-ce7f-4d02-9566-c00146ff90f0,59b8c836-2549-40ba-9c5d-8dd47dbcefe8,bridge_damage,2020-05-16,14.1,3,False,49.1,1.2,5,2.5
8470cc31-81d5-4330-b0de-522e2546f273,fad7024b-202e-4ae7-9177-04263f6f66b3,59b8c836-2549-40ba-9c5d-8dd47dbcefe8,traffic_jam,2020-05-16,42.3,3,True,56.1,,1,3.1
